 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE)";64398,50;60393,25;20155,75;35381,25;47961,25;64259,75;31968,00;46185,25;52466,00;423169,00
"0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM)";18618,60;18670,08;21123,96;17897,88;18773,04;21981,96;18635,76;20025,72;23560,68;179287,68
"0202030199 DOSAGEM DE INIBIDOR DE C1-ESTERASE";9,25;18,50;-;-;9,25;-;9,25;18,50;9,25;74,00
"0202030202 DOSAGEM DE PROTEINA C REATIVA";622311,34;665429,22;687460,77;691173,73;1026064,61;897599,59;1202158,53;1489177,13;1495606,89;8776981,81
"0202030210 GENOTIPAGEM DE VIRUS DA HEPATITE C";1492,40;11939,20;-;7163,52;596,96;-;-;-;-;21192,08
"0202030229 IMUNOELETROFORESE DE PROTEINAS";85,80;68,64;1235,52;737,88;3105,96;892,32;463,32;823,68;2900,04;10313,16
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";68560,00;191200,00;187920,00;98000,00;288720,00;543440,00;1104800,00;1169680,00;1563360,00;5215680,00
"0202030253 PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA";6640,00;7840,00;6790,00;8820,00;8790,00;10570,00;15300,00;18600,00;18760,00;102110,00
"0202030261 PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA";6670,00;9070,00;7340,00;8340,00;8820,00;10800,00;13420,00;10140,00;10820,00;85420,00
"0202030270 PESQUISA DE ANTICORPOS ANTI-DNA";17253,30;16585,71;14220,12;19394,79;20409,18;22273,23;31428,75;15987,48;11929,92;169482,48
"0202030288 PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI";2333,76;32363,76;46400,64;38095,20;30510,48;18447,00;20866,56;30579,12;23028,72;242625,24
"0202030296 PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT/IMUNOBLOT)";25755,00;33065,00;21505,00;76585,00;66045,00;77095,00;124525,00;228905,00;110925,00;764405,00
"0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)";1051308,00;1193292,00;1132730,00;1182980,00;1209730,00;1134734,00;1117732,00;1234774,00;1334854,00;10592134,00
"0202030318 PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2";49398,65;35801,50;49769,65;51420,60;43796,55;44334,50;46300,80;58636,55;77168,00;456626,80
