cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
291800,JEQUIE,29,6747619.27,7446694.82,8309562.84,8376351.68,8209851.79,8320335.37,8249476.64,9275294.67,10234252.68,11508700.72,12762019.13,4488729.78
291840,JUAZEIRO,29,6629538.95,7846617.52,9080862.67,9792716.54,10328426.01,11920791.94,12936861.49,15323492.97,17409156.63,19781153.08,20794443.38,7013442.74
291920,LAURO DE FREITAS,29,3274821.43,3214383.8,3219224.41,4674407.35,4526353.6,4831266.5,4537250.81,5698884.07,5871158.5,6314703.5,6305182.76,2111720.92
292400,PAULO AFONSO,29,5809471.16,5954491.18,6965254.08,7685553.69,7993375.12,8967072.83,9764297.15,11866646.85,12854523.77,14073793.86,14198191.15,4823524.4
292530,PORTO SEGURO,29,0.0,0.0,6000.0,3000.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292660,RIBEIRA DO POMBAL,29,3345129.37,3938938.87,5011673.33,5400878.86,5609190.35,5219531.82,5226313.8,5742952.43,6802119.48,8088851.17,9037624.0,3319514.33
292740,SALVADOR,29,45330936.59,45232830.22,47620523.23,46470887.13,46070850.65,45023821.87,43982649.37,49433967.81,53317718.95,66679248.04,70870483.9,23945522.28
292860,SANTO AMARO,29,0.0,0.0,0.0,0.0,0.0,2400.0,27141.06,35635.94,4614500.48,6354811.65,6957515.63,2637221.37
292870,SANTO ANTONIO DE JESUS,29,5633170.54,4884242.63,5769357.4,6339833.19,7188125.29,7502635.32,6475462.52,7889273.44,8661902.14,9582365.64,10411436.08,3622115.8
292880,SANTO ESTEVAO,29,0.0,0.0,0.0,0.0,0.0,0.0,15411.7,278898.64,3079166.62,3996173.22,5358604.08,1928478.29
292990,SEABRA,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2437252.34,3960599.11,1186845.2
293010,SENHOR DO BONFIM,29,5367804.81,5603526.24,6157455.55,6145129.53,6232975.0,6168028.09,6085446.51,7025630.96,7397372.45,8238655.89,8597706.93,3085216.01
293050,SERRINHA,29,5099216.77,5397183.84,6118279.34,6591386.66,6864714.7,6228790.12,6125009.88,7146124.49,7854773.56,9017056.17,9509777.81,3440079.48
293135,TEIXEIRA DE FREITAS,29,0.0,0.0,0.0,0.0,489119.67,6189201.21,6354024.89,7247231.15,8034108.12,8847643.36,9315629.33,3166236.31
293290,VALENCA,29,3625752.23,4879005.9,5815139.04,6351326.57,6460478.28,6697293.62,6867771.68,7545045.58,8293023.57,8433801.09,8891378.33,3273410.74
293330,VITORIA DA CONQUISTA,29,12339973.88,12591780.6,12333387.84,13044853.96,13427490.95,13821137.59,14939645.78,17158654.74,17511286.69,19216967.71,19826787.51,6729084.33
310160,ALFENAS,31,7168112.68,7435560.41,7837278.58,7975165.22,7905709.27,8936345.01,9484114.87,10363310.77,10803745.57,10710834.72,10735314.36,2691295.49
310350,ARAGUARI,31,2504281.38,2493186.49,2930692.28,3071881.77,2943458.16,3181566.08,3349863.35,3920841.78,4549413.7,5477765.94,6096042.49,2327942.79
310400,ARAXA,31,3467988.89,3697348.92,4073365.91,4293931.28,4649348.09,4868678.94,4738269.39,5150095.91,5376342.01,5991138.68,5863229.06,1408032.24
310560,BARBACENA,31,4275154.14,4290434.54,4917167.75,4988566.07,4781303.38,4999221.46,4924460.53,5256354.22,5977534.08,6343730.68,6410190.85,2035537.63
310620,BELO HORIZONTE,31,63552224.63,66747486.12,69863091.66,68522344.72,70125546.13,71886680.77,70983272.61,78732616.88,85575348.13,93605948.66,97023914.56,32038676.41
310670,BETIM,31,5514128.23,5791115.36,6649931.96,12030748.61,13449826.19,13648881.96,13693768.64,15837265.25,17334313.64,18873328.76,19694883.03,6721688.73
