cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023
317070,VARGINHA,31,23900.0,24317.0,26024.0,26375.0,27273.0,29511.0,28613.0,29213.0,29428.0
317130,VICOSA,31,15741.0,17057.0,17924.0,18776.0,20621.0,22514.0,23300.0,23384.0,24612.0
320060,ARACRUZ,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320090,BARRA DE SAO FRANCISCO,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320120,CACHOEIRO DE ITAPEMIRIM,32,34921.0,35365.0,33662.0,32811.0,33145.0,33888.0,31546.0,27593.0,28248.0
320130,CARIACICA,32,44316.0,48168.0,48187.0,50380.0,44923.0,43173.0,44169.0,44294.0,45322.0
320150,COLATINA,32,54376.0,55578.0,56346.0,57049.0,57728.0,56019.0,54597.0,53635.0,45413.0
320230,GUACUI,32,0.0,0.0,0.0,0.0,693.0,8623.0,10321.0,13462.0,13079.0
320240,GUARAPARI,32,13654.0,13995.0,14592.0,15285.0,16757.0,16776.0,16329.0,15753.0,16250.0
320320,LINHARES,32,26494.0,29024.0,27892.0,28007.0,28854.0,25444.0,25300.0,26821.0,25999.0
320490,SAO MATEUS,32,29505.0,29798.0,30131.0,29614.0,32590.0,33247.0,33202.0,32073.0,32655.0
320500,SERRA,32,44491.0,43472.0,39668.0,38099.0,35722.0,34798.0,42653.0,46208.0,43963.0
320520,VILA VELHA,32,20651.0,21243.0,21491.0,20291.0,20299.0,20544.0,45154.0,44927.0,55555.0
320530,VITORIA,32,39477.0,38400.0,34700.0,29762.0,20501.0,32244.0,30844.0,30481.0,30680.0
330010,ANGRA DOS REIS,33,20333.0,20814.0,23212.0,22394.0,23476.0,24009.0,24659.0,25910.0,28787.0
330020,ARARUAMA,33,19723.0,19988.0,20047.0,21837.0,24700.0,27268.0,26488.0,24794.0,23986.0
330023,ARMACAO DOS BUZIOS,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330030,BARRA DO PIRAI,33,24430.0,24474.0,24427.0,20531.0,19424.0,17353.0,0.0,0.0,0.0
330040,BARRA MANSA,33,9310.0,9128.0,9621.0,9114.0,3804.0,0.0,4.0,2.0,36.0
330045,BELFORD ROXO,33,69087.0,68349.0,67119.0,68140.0,70141.0,68971.0,65091.0,66819.0,67625.0
330060,BOM JESUS DO ITABAPOANA,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330070,CABO FRIO,33,25328.0,25489.0,24507.0,25951.0,26477.0,29392.0,28754.0,27666.0,29258.0
330100,CAMPOS DOS GOYTACAZES,33,54383.0,49628.0,47600.0,46774.0,48846.0,48735.0,46888.0,45115.0,51316.0
330170,DUQUE DE CAXIAS,33,84692.0,80541.0,79858.0,77770.0,77100.0,73872.0,68214.0,70748.0,73935.0
330190,ITABORAI,33,36739.0,33250.0,25290.0,29390.0,31391.0,29683.0,32510.0,33972.0,37278.0
330220,ITAPERUNA,33,24233.0,25786.0,24840.0,24798.0,23990.0,21255.0,23190.0,28229.0,24815.0
330227,JAPERI,33,20074.0,26326.0,27269.0,24307.0,19999.0,19614.0,21227.0,19784.0,28458.0
330240,MACAE,33,22132.0,21693.0,21032.0,19900.0,19362.0,18663.0,15749.0,15830.0,16004.0
330250,MAGE,33,27029.0,26628.0,27836.0,27255.0,27693.0,26456.0,25057.0,24471.0,24114.0
330320,NILOPOLIS,33,15361.0,18718.0,20315.0,20714.0,21143.0,22870.0,21839.0,20578.0,17870.0
330330,NITEROI,33,49238.0,47745.0,46203.0,43913.0,41433.0,42663.0,41626.0,41031.0,43337.0
330340,NOVA FRIBURGO,33,22186.0,21908.0,23122.0,23537.0,23743.0,23684.0,23026.0,23953.0,24277.0
