cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,valor_2015_2023,media_pre_pandemia,media_pandemia,media_pos_pandemia,crescimento_pos_vs_pre_pct,participacao_nacional_pct,ranking_valor
291800,JEQUIE,29,6747619.27,7446694.82,8309562.84,8376351.68,8209851.79,8320335.37,8249476.64,9275294.67,10234252.68,75169439.75999999,7818016.08,8284906.005,9754773.675,24.773006030962286,0.26522259842884416,92
320500,SERRA,32,8053090.01,7897118.74,7814191.67,7509747.86,7007253.07,6797628.71,8300052.44,10126632.67,10098214.84,73603930.01,7656280.2700000005,7548840.575,10112423.754999999,32.08011460374607,0.2596989632243467,93
354780,SANTO ANDRE,35,6817894.57,6483946.91,7331112.77,8019204.29,8094276.76,8096396.84,8295488.36,9372717.99,10914729.98,73425768.47,7349287.06,8195942.6,10143723.985,38.02323820237334,0.25907035049649146,94
150680,SANTAREM,15,6266796.05,6820111.62,7661632.36,7768189.16,7757105.67,7807780.02,8663502.68,9717615.59,10159154.41,72621887.55999999,7254766.972,8235641.35,9938385.0,36.99109893339796,0.25623399326863033,95
354850,SANTOS,35,7004381.67,6830975.04,7851428.4,7810920.8,8137045.42,8318625.47,7815130.05,7976765.83,9848668.0,71593940.67999999,7526950.266,8066877.76,8912716.915,18.41073210300921,0.2526070573298913,96
350280,ARACATUBA,35,4625491.38,5321986.39,6977116.58,8087207.77,8222438.69,8657312.12,8853343.66,10226502.57,10589383.87,71560783.03,6646848.1620000005,8755327.89,10407943.219999999,56.584639310736186,0.25249006619467906,97
410640,CORNELIO PROCOPIO,41,7166360.06,7257842.65,7651662.98,7756694.37,8094650.9,8354414.9,7896248.72,8322818.5,8666976.93,71167670.00999999,7585442.192,8125331.8100000005,8494897.715,11.98948591235931,0.25110303368554365,98
230350,CASCAVEL,23,5679112.78,6096234.22,6732542.94,7143449.13,8097995.77,8379494.22,7854567.42,9504876.28,11617203.61,71105476.37,6749866.968,8117030.82,10561039.945,56.46293467809276,0.2508835939922427,99
150240,CASTANHAL,15,4852983.02,4951093.9,5363128.52,6323762.7,7609309.67,8063665.37,8656114.58,11056903.53,13011118.8,69888080.09,5820055.562000001,8359889.975,12034011.165,106.76797732949197,0.24658821802921702,100
220220,CAMPO MAIOR,22,5963792.9,6047017.39,6677948.32,6927784.73,7764955.3,8260471.17,8277645.09,9434422.03,10459432.31,69813469.24000001,6676299.728,8269058.13,9946927.17,48.988625065516224,0.24632496631986325,101
