cod_municipio,municipio,uf_ibge,ano,valor_aprovado
270030,ARAPIRACA,27,2016,10960639.01
355220,SOROCABA,35,2016,10212831.42
355410,TAUBATE,35,2016,10968947.95
520140,APARECIDA DE GOIANIA,52,2016,9132719.21
260410,CARUARU,26,2016,8786002.29
220800,PICOS,22,2016,8713856.7
355240,SUMARE,35,2016,8780859.85
355280,TABOAO DA SERRA,35,2016,9878973.09
411520,MARINGA,41,2016,10192524.42
310670,BETIM,31,2016,5791115.36
230370,CAUCAIA,23,2016,8303700.27
291840,JUAZEIRO,29,2016,7846617.52
320150,COLATINA,32,2016,10197053.55
352390,ITU,35,2016,6000124.97
210300,CAXIAS,21,2016,9974983.75
420910,JOINVILLE,42,2016,8999132.94
231290,SOBRAL,23,2016,8684416.58
350600,BAURU,35,2016,9423728.45
351620,FRANCA,35,2016,8058697.59
314330,MONTES CLAROS,31,2016,8749261.6
260120,ARCOVERDE,26,2016,8865093.52
240800,MOSSORO,24,2016,8153727.8
354870,SAO BERNARDO DO CAMPO,35,2016,9221522.33
110020,PORTO VELHO,11,2016,7801568.22
354990,SAO JOSE DOS CAMPOS,35,2016,8659624.56
351380,DIADEMA,35,2016,8477949.74
260790,JABOATAO DOS GUARARAPES,26,2016,9102067.48
261640,VITORIA DE SANTO ANTAO,26,2016,8173324.57
330100,CAMPOS DOS GOYTACAZES,33,2016,9187010.46
353440,OSASCO,35,2016,9018676.95
316860,TEOFILO OTONI,31,2016,7798602.01
330510,SAO JOAO DE MERITI,33,2016,8921257.36
330350,NOVA IGUACU,33,2016,9569526.49
220390,FLORIANO,22,2016,7380683.38
313130,IPATINGA,31,2016,8908992.49
150080,ANANINDEUA,15,2016,2671574.3
330330,NITEROI,33,2016,9201240.07
260290,CABO DE SANTO AGOSTINHO,26,2016,7550568.04
260600,GARANHUNS,26,2016,6899279.89
350760,BRAGANCA PAULISTA,35,2016,8617865.76
320130,CARIACICA,32,2016,8751606.33
210120,BACABAL,21,2016,7123433.45
120040,RIO BRANCO,12,2016,7020355.3
330414,QUEIMADOS,33,2016,7184050.16
410830,FOZ DO IGUACU,41,2016,6809948.09
431440,PELOTAS,43,2016,8322724.55
354140,PRESIDENTE PRUDENTE,35,2016,7569835.73
310160,ALFENAS,31,2016,7435560.41
292400,PAULO AFONSO,29,2016,5954491.18
314790,PASSOS,31,2016,7359635.69
520110,ANAPOLIS,52,2016,7349792.5
